fecha,clave,tienda,nombre,precio,disponible,url
2026-08-14 09:10,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"708,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-14 10:51,Blister (charmander),OZ Juegos,Pokémon – Blister Héroes Ascendentes Español – Charmander,"24,95 €",False,https://ozjuegos.com/producto/pokemon-blister-heroes-ascendentes-espanol-charmander/
2026-08-14 10:51,Blister (gastly),OZ Juegos,Pokémon – Blister Héroes Ascendentes Español – Gastly,"24,95 €",False,https://ozjuegos.com/producto/pokemon-blister-heroes-ascendentes-espanol-gastly/
2026-08-14 10:51,Blister (komala),OZ Juegos,Pokémon – Blister Héroes Ascendentes Español – Komala,"17,95 €",False,https://ozjuegos.com/producto/pokemon-blister-heroes-ascendentes-espanol-komala/
2026-08-14 10:51,Blister (tangela),OZ Juegos,Pokémon – Blister Héroes Ascendentes Español – Tangela,"17,95 €",False,https://ozjuegos.com/producto/pokemon-blister-heroes-ascendentes-espanol-tangela/
2026-08-14 10:51,Poster (gardevoir),OZ Juegos,Pokémon TCG – Colección con poster premium de Mega-Gardevoir – Megaevolución-Héroes Ascendentes,"74,95 €",False,https://ozjuegos.com/producto/pokemon-tcg-coleccion-con-poster-premium-de-mega-gardevoir-megaevolucion-heroes-ascendentes/
2026-08-14 10:51,Poster (lucario),OZ Juegos,Pokémon TCG – Colección con poster premium de Mega-Lucario – Megaevolución-Héroes Ascendentes,"74,95 €",False,https://ozjuegos.com/producto/pokemon-tcg-coleccion-con-poster-premium-de-mega-lucario-megaevolucion-heroes-ascendentes/
2026-08-14 10:51,Coleccion Ilustracion S3,OZ Juegos,Pokemon TCG – Colección Ilustración Primer Compañero (serie 3) (Español),"24,95 €",False,https://ozjuegos.com/producto/pokemon-tcg-coleccion-ilustracion-primer-companero-serie-3-espanol/
2026-08-14 12:11,Tech Sticker,TodoHits,Tech Sticker 3 Sobres Ascended heroes | POKÉMON | Inglés,"34,00 €",False,https://todohits.com/products/tech-sticker-3-sobres-ascended-heroes-pokemon-ingles
2026-08-14 14:07,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"709,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-14 14:07,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"47,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
2026-08-14 14:32,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"60,00 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
